type	Qda	Qd	Qa	Q0	P5	P4	P3	P2	P1	Nda	Nd	Na	N0	C5	C4	C3	C2	C1	SC1	SP0
Qda	0	0	0	2	0	0	0	1	1	1	1	1	4	5	6	7	9	9	9	1
Qd	0	1	0	2	0	0	0	1	1	1	3	1	4	5	6	7	9	9	9	1
Qa	0	0	1	2	0	0	0	1	1	1	1	3	4	5	6	7	9	9	9	1
Q0	2	2	2	4	1	0	1	2	3	3	3	3	4	5	6	7	9	9	9	3
P5	0	0	0	1	0	0	0	0	0	1	1	1	4	5	6	6	7	8	8	11
P4	0	0	0	0	0	1	1	2	2	3	3	3	4	5	6	6	7	8	8	12
P3	0	0	0	1	0	1	1	2	2	2	2	2	4	4	5	5	6	7	7	2
P2	1	1	1	2	0	2	2	2	2	2	2	2	3	4	4	5	6	7	7	2
P1	1	1	1	3	0	2	2	2	2	2	2	2	3	4	4	4	5	6	6	2
Nda	1	1	1	3	1	3	2	2	2	2	2	2	4	4	5	6	6	6	6	2
Nd	1	3	1	3	1	3	2	2	2	2	3	2	4	4	5	6	6	6	6	2
Na	1	1	3	3	1	3	2	2	2	2	2	3	4	4	5	6	6	6	6	2
N0	4	4	4	4	4	4	4	3	3	4	4	4	4	4	4	4	5	6	6	13
C5	5	5	5	5	5	5	4	4	4	4	4	4	4	4	4	4	5	5	5	4
C4	6	6	6	6	6	6	5	4	4	5	5	5	4	4	4	4	5	5	5	14
C3	7	7	7	7	6	6	5	5	4	6	6	6	4	4	4	4	4	4	4	5
C2	9	9	9	9	7	7	6	6	5	6	6	6	5	5	5	4	4	4	4	15
C1	9	9	9	9	8	8	7	7	6	6	6	6	6	5	5	4	4	4	4	6
SC1	9	9	9	9	8	8	7	7	6	6	6	6	6	5	5	4	4	4	10	16
SP0	1	1	1	3	11	12	2	2	2	2	2	2	13	4	14	5	15	6	16	17
eps	5.6	5.0	4.5	4.0	3.5	3.1	2.7	2.3	2.0	2.0	2.625	5.3	4.25	3.75	3.3	2.9	2.025	3.75	0	0
sigma	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.62	0.43	0.47	0.47	0.47	0.47	0.47	0.43	0.43	0	0
